Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK,City,State
Builder Floors,2.0,2.0,Unfurnished,600,Ready to Move,12.0,1080.0,East,1.0,8500000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,500,Ready to Move,11.0,600.0,East,0.0,7700000.0,"Thane East, Thane, Maharashtra",1.0,Thane,Maharashtra
Builder Floors,1.0,2.0,Furnished,350,Ready to Move,3.0,400.0,,1.0,11000.0,"Tilak Nagar, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,650,Under Construction,45.0,950.0,West,1.0,10500000.0,"Kharghar, Navi  Mumbai, Maharashtra",2.0,Navi  Mumbai,Maharashtra
Houses & Villas,4.0,3.0,Semi-Furnished,800,Ready to Move,3.0,80.0,East,0.0,4900000.0,"Khanpur, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,3.0,3.0,Unfurnished,1181,Under Construction,30.0,1535.0,East,1.0,16000000.0,"Hadapsar, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,1.0,2.0,Unfurnished,383,Under Construction,9.0,479.0,West,0.0,13300000.0,"Santacruz East,  Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Builder Floors,1.0,1.0,Semi-Furnished,50,Ready to Move,4.0,50.0,West,0.0,1150000.0,"Chander Vihar, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,1.0,1.0,Semi-Furnished,612,Ready to Move,4.0,612.0,East,0.0,2200000.0,"Ranip, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Unfurnished,850,Ready to Move,7.0,1001.0,North-East,1.0,7200000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Houses & Villas,2.0,4.0,Semi-Furnished,960,Ready to Move,3.0,1230.0,South,1.0,6500000.0,"Sugat Nagar, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,410,Ready to Move,14.0,580.0,North-East,0.0,3700000.0,"Husainganj, Lucknow, Uttar Pradesh",1.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Semi-Furnished,785,Ready to Move,30.0,1250.0,East,1.0,45000.0,"Majiwada, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,1.0,1.0,Unfurnished,452,Ready to Move,5.0,540.0,West,1.0,1800000.0,"Kondhwa Khurd, Pune, Maharashtra",1.0,Pune,Maharashtra
